URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,720,LAL,Jump ball: D. Jordan vs. L. Nance (C. Paul gains possession),0,LAC,,0,,,,,,,,,,,,,,,,,,,,,,,,D. Jordan - jordade01,L. Nance - nancela02,C. Paul - paulch01
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,705,LAL,,0,LAC,J. Redick misses 2-pt jump shot from 18 ft,0,J. Redick - redicjj01,2-pt jump shot,miss,18.0,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,702,LAL,Defensive rebound by B. Ingram,0,LAC,,0,,,,,,,,,,B. Ingram - ingrabr01,defensive,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,692,LAL,J. Clarkson misses 2-pt jump shot from 15 ft,0,LAC,,0,J. Clarkson - clarkjo01,2-pt jump shot,miss,15.0,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,689,LAL,,0,LAC,Defensive rebound by D. Jordan,0,,,,,,,,,,D. Jordan - jordade01,defensive,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,680,LAL,,0,LAC,B. Griffin makes 2-pt jump shot from 19 ft,2,B. Griffin - griffbl01,2-pt jump shot,make,19.0,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,664,LAL,J. Randle misses 2-pt jump shot from 20 ft,0,LAC,,2,J. Randle - randlju01,2-pt jump shot,miss,20.0,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,661,LAL,,0,LAC,Defensive rebound by D. Jordan,2,,,,,,,,,,D. Jordan - jordade01,defensive,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,646,LAL,,0,LAC,C. Paul makes 3-pt jump shot from 24 ft (assist by B. Griffin),5,C. Paul - paulch01,3-pt jump shot,make,24.0,B. Griffin - griffbl01,,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,626,LAL,B. Ingram misses 2-pt jump shot from 10 ft (block by L. Mbah a Moute),0,LAC,,5,B. Ingram - ingrabr01,2-pt jump shot,miss,10.0,,L. Mbah a Moute - mbahalu01,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,624,LAL,,0,LAC,Defensive rebound by J. Redick,5,,,,,,,,,,J. Redick - redicjj01,defensive,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,618,LAL,,0,LAC,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by C. Paul),7,L. Mbah a Moute - mbahalu01,2-pt layup,make,2.0,C. Paul - paulch01,,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,598,LAL,D. Russell misses 3-pt jump shot from 27 ft,0,LAC,,7,D. Russell - russeda01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,597,LAL,Offensive rebound by L. Nance,0,LAC,,7,,,,,,,,,,L. Nance - nancela02,offensive,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,592,LAL,D. Russell misses 3-pt jump shot from 26 ft,0,LAC,,7,D. Russell - russeda01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201704010LAC.html,regular,STAPLES Center Los Angeles California,2017-04-01,3:30 PM,LAC,1,591,LAL,,0,LAC,Defensive rebound by C. Paul,7,,,,,,,,,,C. Paul - paulch01,defensive,,,,,,,,,,,,,,,
